case_title,austlii_url,pdf_url
Commissioner initiated investigation into Bunnings Group Limited (Privacy) [2024] AICmr 230 (29 October 2024),https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2024/230.html,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2024/230.pdf
'AQE' and Noonan Real Estate Agency Pty Ltd (Privacy) [2024] AICmr 237 (1 November 2024),https://classic.austlii.edu.au/au/cases/cth/AICmr/2024/237.html,https://classic.austlii.edu.au/au/cases/cth/AICmr/2024/237.pdf
'AHL' and TICA Default Tenancy Control Pty Ltd (Privacy) [2024] AICmr 26 (9 February 2024),https://classic.austlii.edu.au/au/cases/cth/AICmr/2024/26.html,https://classic.austlii.edu.au/au/cases/cth/AICmr/2024/26.pdf
_ALI_ and _ALJ_ (Privacy) [2024] AICmr 131 (20 June 2024),https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2024/131.html,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2024/131.pdf
Cherrybrook Medical Centre (Privacy) [2024] AICmr 40 (28 February 2024),https://classic.austlii.edu.au/au/cases/cth/AICmr/2024/43.html,https://classic.austlii.edu.au/au/cases/cth/AICmr/2024/43.pdf
Rao Medical Centre (Privacy) [2024] AICmr 40 (23 February 2024),https://classic.austlii.edu.au/au/cases/cth/AICmr/2024/40.html,https://classic.austlii.edu.au/au/cases/cth/AICmr/2024/40.pdf
AGX_ and _AGY_ (Privacy) [2024] AICmr 16 (29 January 2024),http://classic.austlii.edu.au/au/cases/cth/AICmr/2024/16.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2024/16.pdf
'AHM' and JFA (Aust) Pty Ltd t_a Court Data Australia (Privacy) [2024] AICmr 29 (12 February 2024),http://classic.austlii.edu.au/au/cases/cth/AICmr/2024/29.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2024/29.pdf
Cardiac Dynamics [2023] AICmr 96 (24 October 2023),http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/96.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/96.pdf
Burwood Westfield Medical Centre (Privacy) 2023 AICmr 108 (9 November 2023),http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/108.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/108.pdf
'AEZ' and Serco Group Pty Limited (Privacy) 2023 AICmr 93 (24 October 2023),http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/93.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/93.pdf
Datateks Pty Ltd (Privacy) [2023] AICmr 97 (24 October 2023),http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/97.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/97.pdf
Pacific Lutheran College (Privacy) [2023] AICmr 98 (24 October 2023),http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/98.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/98.pdf
'ADO' and Telstra Corporation Limited (Privacy) [2023] AICmr 47 (14 June 2023),http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/47.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/47.pdf
_ADH_ and Secretary to the Department of Defence (Privacy) [2023] AICmr 24 (6 April 2023),http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/24.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/24.pdf
_ADG_ and ANZ Bank Limited (Privacy) [2023] AICmr 19 (31 March 2023),http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/19.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2023/19.pdf
'D' and Wentworthville Leagues Club [2011] AICmr 9,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2011/9.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2011/9.pdf
'S' and Veda Advantage Information Services and Solutions Limited [2012] AICmr 33,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2012/33.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2012/33.pdf
'BO' and AeroCare Pty Ltd [2014] AICmr 32,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/32.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/32.pdf
'CM' and Corporation of the Synod of the Diocese of Brisbane [2014] AICmr 86,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/86.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/86.pdf
'CP' and Department of Defence [2014] AICmr 88,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/88.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/88.pdf
'DK' and Telstra Corporation Limited [2014] AICmr 118,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/118.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/118.pdf
'DO' and Department of Veterans' Affairs [2014] AICmr 124,http://www6.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AATA/2017/1560.html,http://www6.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AATA/2017/1560.pdf
'DO' and Department of Veterans' Affairs [2014] AICmr 124,http://www.austlii.edu.au/au/cases/cth/FCAFC/2018/192.html,http://www.austlii.edu.au/au/cases/cth/FCAFC/2018/192.pdf
'DO' and Department of Veterans' Affairs [2014] AICmr 124,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/124.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2014/124.pdf
'EQ' and Great Barrier Reef Marine Park Authority [2015] AICmr 11,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AATA/2016/785.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AATA/2016/785.pdf
'EQ' and Great Barrier Reef Marine Park Authority [2015] AICmr 11,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/11.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/11.pdf
'EZ' and 'EY' [2015] AICmr 23,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/23.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/23.pdf
Ben Grubb and Telstra Corporation Limited [2015] AICmr 35,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AATA/2015/991.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AATA/2015/991.pdf
Ben Grubb and Telstra Corporation Limited [2015] AICmr 35,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCAFC/2017/4.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/FCAFC/2017/4.pdf
Ben Grubb and Telstra Corporation Limited [2015] AICmr 35,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/35.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/35.pdf
'HS' and AMP Life Ltd [2015] AICmr 81,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/81.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/81.pdf
'HW' and Freelancer International Pty Limited [2015] AICmr 86,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AATA/2017/2426.html?context=1;query=freelancer;mask_path=,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AATA/2017/2426.pdf?context=1;query=freelancer;mask_path=
'HW' and Freelancer International Pty Limited [2015] AICmr 86,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/86.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2015/86.pdf
"'IQ' and NRMA Insurance, Insurance Australia Limited [2016] AICmr 36",http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/36.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/36.pdf
"'IR' and NRMA Insurance, Insurance Australia Limited [2016] AICmr 37",http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/37.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/37.pdf
'IV' and 'IW' [2016] AICmr 41,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/41.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/41.pdf
'IX' and Business Services Brokers Pty Ltd t_a TeleChoice [2016] AICmr 42,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/42.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/42.pdf
'IY' and Business Services Brokers Pty Ltd t_a TeleChoice [2016] AICmr 44,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/44.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/44.pdf
'JO' and Comcare [2016] AICmr 64,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/64.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/64.pdf
'KA' and Commonwealth Bank of Australia Limited [2016] AICmr 80,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/80.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/80.pdf
'KB' and Veda Advantage Information Services and Solutions Ltd [2016] AICmr 81,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/81.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/81.pdf
Financial Rights Legal Centre Inc. _ Others and Veda Advantage Information Services and Solutions Ltd [2016] AICmr 88,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/88.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2016/88.pdf
'LA' and Department of Defence (Privacy) [2017] AICmr 25,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/25.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/25.pdf
'LB' and Comcare (Privacy) [2017] AICmr 28,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/28.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/28.pdf
'LP' and The Westin Sydney (Privacy) [2017] AICmr 53,http://www.austlii.edu.au/au/cases/cth/FCA/2018/1212.html,http://www.austlii.edu.au/au/cases/cth/FCA/2018/1212.pdf
'LP' and The Westin Sydney (Privacy) [2017] AICmr 53,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/53.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/53.pdf
'LS' and 'LT' (Privacy) [2017] AICmr 60,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/60.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/60.pdf
'LU' and Department of Defence (Privacy) [2017] AICmr 61,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/61.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2017/61.pdf
'OJ' and Department of Home Affairs (Privacy) [2018] AICmr 35,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2018/35.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2018/35.pdf
'PA' and Department of Veterans' Affairs (Privacy) [2018] AICmr 50,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2018/50.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2018/50.pdf
'PB' and United Super Pty Ltd as Trustee for Cbus (Privacy) [2018] AICmr 51,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2018/51.html,http://www8.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2018/51.pdf
'RC' and TICA Default Tenancy Control Pty Ltd (Privacy) [2019] AICmr 60,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr//2019/60.html,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr//2019/60.pdf
'QP' and the Commonwealth Bank of Australia Limited (Privacy) [2019] AICmr 48,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2019/48.html?context=1;query=aicmr;mask,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2019/48.pdf?context=1;query=aicmr;mask
'QF' _ Others and Spotless Group Limited (Privacy) [2019] AICmr 20,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2019/20.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2019/20.pdf
'QD' and Dr 'QE' and Idameneo (No.123) Pty Limited (Privacy) [2019] AICmr 17,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2019/17.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2019/17.pdf
'WK' and Hays Specialist Recruitment (Australia) Pty Ltd (Privacy) [2020] AICmr 68 (22 December 2020),https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/68.html,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/68.pdf
'VQ' and Secretary to the Department of Home Affairs (Corrigendum dated 17 December 2020) (Privacy) [2020] AICmr 49,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/49.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/49.pdf
'WL' and Secretary to the Department of Defence [2020] AICmr 69,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/69.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/69.pdf
'WG' and AustralianSuper Pty Ltd (Privacy) AICmr 64,http://www6.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/64.html,http://www6.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/64.pdf
'WC' and Chief of Defence Force (Privacy) [2020] AICmr 60 (27 November 2020),http://classic.austlii.edu.au/cgi-bin/sinodisp/au/cases/cth/AICmr/2020/60.html?stem=0&synonyms=0&que,http://classic.austlii.edu.au/cgi-bin/sinodisp/au/cases/cth/AICmr/2020/60.pdf?stem=0&synonyms=0&que
Flight Centre Travel Group (Privacy) [2020] AICmr 57 (25 November 2020),https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/57.html,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/57.pdf
"'VU' and 'VV', 'VW' (Privacy) [2020] AICmr 52 (14 September 2020)",http://classic.austlii.edu.au/au/cases/cth/AICmr/2020/52.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2020/52.pdf
'VN' and 'VM' (Privacy) [2020] AICmr 46,http://classic.austlii.edu.au/au/cases/cth/AICmr/2020/46.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2020/46.pdf
'VI' and CSIRO (Privacy) [2020] AICmr 44,http://classic.austlii.edu.au/au/cases/cth/AICmr/2020/44.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2020/44.pdf
"'VJ', 'VK', 'VL' and 'VM' (Privacy) [2020] AICmr 45",http://classic.austlii.edu.au/au/cases/cth/AICmr/2020/45.html,http://classic.austlii.edu.au/au/cases/cth/AICmr/2020/45.pdf
'SD' _ 'SE' and Northside Clinic (Vic) Pty Ltd (Privacy) [2020] AICmr 21,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/21.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/21.pdf
'ST' and Chief Executive Officer of Services Australia (Privacy) [2020] AICmr 30,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/30.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/30.pdf
'SF' and 'SG' (Privacy) [2020] AICmr 22,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/22.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2020/22.pdf
"'XO' and 'XP', 'XQ' (Privacy) [2021] AICmr 37",http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/37.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/37.pdf
'XL' and Comcare (Privacy) [2021] AICmr 29,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/29.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/29.pdf
"Commissioner Initiated Investigation into Uber Technologies, Inc. _ Uber B.V. (Privacy) [2021] AICmr 34",http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/34.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/34.pdf
'XH' and 'XI' (Privacy) [2021] AICmr 23,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/23.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/23.pdf
'XA' and CEO of Services Australia (Privacy) [2021] AICmr 13,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/13.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/13.pdf
'WZ' and CEO of Services Australia (Privacy) [2021] AICmr 12,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/12.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/12.pdf
'WT' and Wurli-Wurlinjang Health Service (Privacy) [2021] AICmr 8,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/8.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/8.pdf
'WQ' and Commissioner of Taxation (Privacy) [2021] AICmr 4,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/4.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/4.pdf
'WR' and Telstra Corporation Limited (Privacy) [2021] AICmr 5,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/5.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/5.pdf
'WP' and Secretary to the Department of Home Affairs (Privacy) [2021] AICmr 2,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/2.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/2.pdf
Commissioner initiated investigation into 7-Eleven Stores Pty Ltd (Privacy) (Corrigendum dated 12 October 2021) [2021] AICmr 50 (29 September 2021),http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/50.html?context=1;query=20initiated20into22;mask_path=,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/50.pdf?context=1;query=20initiated20into22;mask_path=
Commissioner Initiated Investigation into the Australian Federal Police (Privacy) [2021] AICmr 74 (26 November 2021),http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/74.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/74.pdf
"Commissioner initiated investigation into Clearview AI, Inc. (Privacy) [2021] AICmr 54 (14 October 2021)",http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/54.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/54.pdf
'ZJ' and Chief Executive Officer for the Australian Centre for International Agricultural Research (Privacy) [2021] AICmr 92 (17 December 2021),http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/92.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/92.pdf
'ZI' and MedHealth Pty Ltd t_as mlcoa (Privacy) [2021] AICmr 91 (17 December 2021),http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/91.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/91.pdf
'ZN' and a School (Privacy) [2021] AICmr 95 (17 December 2021),http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/95.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/95.pdf
'ZG' and Sydney Catholic Schools Ltd (Privacy) [2021] AICmr 89 (16 December 2021),http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/89.html,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/AICmr/2021/89.pdf
